stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,stop_timezone,platform_code,vehicle_type
NSR:Quay:67229,,Fjordvegen,,62.410618,6.555479,,,0,NSR:StopPlace:38918,2,,,700
NSR:Quay:67220,,Årøkrysset,,62.74774,7.257199,,,0,NSR:StopPlace:38912,2,,,700
NSR:Quay:68551,,Steinså bedehus,,62.696495,7.425763,,,0,NSR:StopPlace:39818,2,,,700
NSR:Quay:69883,,Bjørge vest gamlevegen,,62.497322,6.350411,,,0,NSR:StopPlace:40729,2,,,700
NSR:Quay:69881,,Bjørge gamlevegen,,62.49787,6.354829,,,0,NSR:StopPlace:40728,2,,,700
NSR:Quay:68553,,Geilevika,,62.468483,6.023138,,,0,NSR:StopPlace:39819,2,,,700
NSR:Quay:67221,,Helsem,,62.2935,6.955597,,,0,NSR:StopPlace:38913,2,,,700
NSR:Quay:69882,,Nedre Brønnsletta,,62.53465,7.697519,,,0,NSR:StopPlace:40727,2,,,700
NSR:Quay:68552,,Geilevika,,62.46853,6.023307,,,0,NSR:StopPlace:39819,2,,,700
NSR:Quay:68555,,Steinvågbakken,,62.469837,6.125806,,,0,NSR:StopPlace:39821,2,,,700
NSR:Quay:67224,,Fjelltun,,62.474815,6.189365,,,0,NSR:StopPlace:38914,2,,,700
NSR:Quay:69887,,Nedre Fuglset,,62.740177,7.198223,,,0,NSR:StopPlace:40732,2,,,700
NSR:Quay:67223,,Helsem,,62.2935,6.955501,,,0,NSR:StopPlace:38913,2,,,700
NSR:Quay:68554,,Kiperviktorget E136,,62.47113,6.160283,,,0,NSR:StopPlace:39820,2,,,700
NSR:Quay:69888,,Bjørge aust gamlevegen,,62.497948,6.360668,,,0,NSR:StopPlace:40733,2,,,700
NSR:Quay:69885,,Nedre Engvika,,63.03901,7.671107,,,0,NSR:StopPlace:40731,2,,,700
NSR:Quay:68557,,Kipperviken,,63.015537,7.702687,,,0,NSR:StopPlace:39822,2,,,700
NSR:Quay:67226,,Årølia,,62.755447,7.291612,,,0,NSR:StopPlace:38916,2,,,700
NSR:Quay:68556,,Steinvågbakken,,62.470154,6.125586,,,0,NSR:StopPlace:39821,2,,,700
NSR:Quay:69886,,Nedre Fuglset,,62.740925,7.198471,,,0,NSR:StopPlace:40732,2,,,700
NSR:Quay:70837,,Drabløs,,62.304314,6.626227,,,0,NSR:StopPlace:41381,2,,,700
NSR:Quay:70832,,Raudåna,,62.425426,6.275652,,,0,NSR:StopPlace:41377,2,,,700
NSR:Quay:70833,,Skår,,62.12993,5.696026,,,0,NSR:StopPlace:41378,2,,,700
NSR:Quay:69880,,Nedre Brønnsletta,,62.535446,7.698099,,,0,NSR:StopPlace:40727,2,,,700
NSR:Quay:70834,,Skår,,62.129982,5.695541,,,0,NSR:StopPlace:41378,2,,,700
NSR:Quay:70835,,Drabløs,,62.30438,6.626085,,,0,NSR:StopPlace:41381,2,,,700
NSR:Quay:67217,,Årøhagen,,62.746834,7.253643,,,0,NSR:StopPlace:38910,2,,,700
NSR:Quay:68548,,Steinsøysund,,63.462574,8.101838,,,0,NSR:StopPlace:39816,2,,,700
NSR:Quay:68547,,Kilsti Yste Kilsti,,62.261246,7.154234,,,0,NSR:StopPlace:39815,2,,,700
